# Ukrainian translation of Terminals user interface.
# Format: english source text [TAB] translation. Escapes: 
 new line, 	 tab, \ backslash.
Show/Hide Menu	Показати/сховати меню
Sorry, Terminals was unable to connect to the remote machine.  Try again, or check the log for more information.	На жаль, Terminals не вдалося підключитися до віддаленого комп’ютера.  Спробуйте ще раз або перегляньте журнал.
Special Commands	Спеціальні команди
Standard Toolbar	Стандартна панель інструментів
Tags	Групи
Terminal	Термінал
Terminals News	Новини Terminals
Tools	Інструменти
UnTagged	Без групи
Terminals was not able to shutdown the machine remotely.	Terminals не вдалося віддалено вимкнути комп’ютер.
User	Користувач
View	Вигляд
View in new Window	Відкрити в новому вікні
Confirmation	Підтвердження
Atleast one protocol needs to be selected.	Потрібно вибрати принаймні один протокол.
Message from your Administrator	Повідомлення від адміністратора
Please enter the message to send:	Введіть повідомлення для надсилання:
Today	Сьогодні
Yesterday	Учора
Less than 1 Week	Менше тижня
Less than 2 Weeks	Менше 2 тижнів
Less than 1 Month	Менше місяця
Over 1 Month	Понад місяць
Over 6 Months	Понад 6 місяців
Over 1 Year	Понад рік
Adds new group as child of selected group	Додає нову групу як дочірню до вибраної
Clear history	Очистити історію
Collapse	Згорнути
Collapse all	Згорнути все
Collapse favorites tree	Згорнути дерево обраного
Computer Management (MMC)	Керування комп’ютером (MMC)
Connect to All	Підключитися до всіх
Connect to All with...	Підключитися до всіх з...
Creates copy of first selected favorite including its group assignment	Створює копію першого вибраного з’єднання разом із його групами
Creates new favorite adding it to the selected group	Створює нове з’єднання й додає його до вибраної групи
DNS	DNS
Delete Group	Видалити групу
Delete all Favorites in Group...	Видалити всі з’єднання групи...
Delete favorite	Видалити з’єднання
Deletes all favorites listed in this group.\nThe favorites disapear from all groups.	Видаляє всі з’єднання цієї групи.\nЗ’єднання зникнуть з усіх груп.
Disconnect	Відключитися
Duplicate	Дублювати
Edit this favorite properties	Змінити властивості цього з’єднання
Enable RDP	Увімкнути RDP
Enable RDP service on target computer.\nRequires admin access to the computer (used favorite credentials).\nThe computer also needs to have enabled remote access to the registry.	Вмикає службу RDP на цільовому комп’ютері.\nПотрібен доступ адміністратора (використовуються облікові дані з’єднання).\nНа комп’ютері також має бути ввімкнено віддалений доступ до реєстру.
Favorites	Обране
Favorites tree menu	Меню дерева обраного
Forces reboot of the computer. Forces all users to log off.\nRequires admin access (used favorite credentials).\nRemote management has to be enabled on the target machine.\n	Примусово перезавантажує комп’ютер. Усіх користувачів буде примусово виведено із системи.\nПотрібен доступ адміністратора (використовуються облікові дані з’єднання).\nНа цільовому комп’ютері має бути ввімкнено віддалене керування.\n
Forces shutdown of the computer. Forces all users to log off.\nRequires admin access (used favorite credentials).\nRemote management has to be enabled on the target machine.	Примусово вимикає комп’ютер. Усіх користувачів буде примусово виведено із системи.\nПотрібен доступ адміністратора (використовуються облікові дані з’єднання).\nНа цільовому комп’ютері має бути ввімкнено віддалене керування.
History	Історія
History tree menu	Меню дерева історії
New Favorite	Нове з’єднання
New Group	Нова група
Opens networking tool and starts PING the target machine.	Відкриває мережеві інструменти й запускає PING цільового комп’ютера.
Opens networking tool and starts TRACE the target machine.	Відкриває мережеві інструменти й запускає трасування до цільового комп’ютера.
Opens networking tool and tries to resolve DNS name of the target machine.	Відкриває мережеві інструменти й намагається визначити DNS-ім’я цільового комп’ютера.
Ping	Ping
Properties	Властивості
Reboot	Перезавантажити
Reconnect	Перепідключитися
Removes selected group. Favorites aren't deleted	Видаляє вибрану групу. З’єднання не видаляються
Rename	Перейменувати
Set Credential to all in Group...	Задати облікові дані для всіх у групі...
Set Domain to all in Group...	Задати домен для всіх у групі...
Set Password to all in Group...	Задати пароль для всіх у групі...
Set Username to all in Group...	Задати ім’я користувача для всіх у групі...
Shutdown	Вимкнути
System Information	Відомості про систему
TS Admin	Адміністрування TS
Trace Route	Трасування маршруту
Tries to open the Terminals services configuration of the target machine.\nRequires admin privileges on the target machine.	Намагається відкрити налаштування служб терміналів цільового комп’ютера.\nПотрібні права адміністратора на цільовому комп’ютері.
Search ...	Пошук...
Change {0} - {1}	Зміна: {0} - {1}
Set {0} by group Complete.	Значення «{0}» для групи задано.
This will replace the {0} for all Favorites within this group.\nUse at your own risk!\n\nEnter new {0}:	Буде замінено «{0}» для всіх з’єднань у цій групі.\nВикористовуйте на власний ризик!\n\nВведіть нове значення «{0}»:
Domain name	Ім’я домену
User name	Ім’я користувача
Password	Пароль
Credential	Облікові дані
Delete all Favorites by group Complete.	Усі з’єднання групи видалено.
Group name is not valid	Неприпустима назва групи
RDP is already enabled.	RDP уже ввімкнено.
Reboot Required	Потрібне перезавантаження
Remote action result	Результат віддаленої дії
Terminals was not able to enable RDP remotely.	Terminals не вдалося віддалено ввімкнути RDP.
The credential you specified does not exist.	Вказаних облікових даних не існує.
Are you sure you want to {0} this machine: {1}\nOperation requires administrator priviledges and can take a while.	Ви дійсно бажаєте виконати дію «{0}» для комп’ютера {1}?\nОперація потребує прав адміністратора й може тривати деякий час.
Terminals enabled the RDP on the remote machine, would you like to reboot that machine for the change to take effect?	Terminals увімкнув RDP на віддаленому комп’ютері. Перезавантажити його, щоб зміни набули чинності?
This will DELETE all Favorites within this group.\nDo you realy want to delete them?	Буде ВИДАЛЕНО всі з’єднання цієї групи.\nВи дійсно бажаєте їх видалити?
Credential:	Облікові дані:
&Execute before connect	&Виконати перед підключенням
&Wait for exit	&Чекати завершення
Arguments	Аргументи
Command:	Команда:
Initial Directory:	Початкова тека:
Execute before connect	Виконати перед підключенням
General	Загальні
Groups	Групи
Notes	Нотатки
Protocol Options	Параметри протоколу
{0} Options	Параметри {0}
&Computer:	&Комп’ютер:
&Open in New Window	&Відкривати в новому вікні
&Protocol:	&Протокол:
Add to &Toolbar	Додати на &панель інструментів
Connection na&me:	&Назва з’єднання:
Port:	Порт:
S&ave password	З&берегти пароль
Computer:	Комп’ютер:
Url:	URL:
Select Custom Terminal Image .	Виберіть власне зображення термінала
You have chosen an invalid image. Try again.	Вибрано неприпустиме зображення. Спробуйте ще раз.
All available groups:	Усі доступні групи:
Assigned groups:	Призначені групи:
New Group:	Нова група:
Black	Чорний
Defaults	Типові
Font:	Шрифт:
New Connection	Нове з’єднання
Edit Connection	Зміна з’єднання
Remove Saved Defaults	Видалити збережені типові
Save && Close	Зберегти й закрити
Save && Connect	Зберегти й підключитися
Save && Copy	Зберегти й копіювати
Save && New	Зберегти й створити
Save Current Settings as Default	Зберегти поточні налаштування як типові
Validation error '{0}': {1}	Помилка перевірки «{0}»: {1}
Server name is required and has to be valid computer name or IP address.	Ім’я сервера обов’язкове й має бути правильним ім’ям комп’ютера або IP-адресою.
Name cant be empty.	Ім’я не може бути порожнім.
UserName cant be empty.	Ім’я користувача не може бути порожнім.
Server name is not in the correct format.	Ім’я сервера має неправильний формат.
Favorite with the same name already exists	З’єднання з такою назвою вже існує
Group with the same name already exists	Група з такою назвою вже існує
Port has to be a number in range 0-65535.	Порт має бути числом у діапазоні 0-65535.
Property maximum lenght is 255 characters.	Максимальна довжина значення - 255 символів.
Protocol is unknown	Невідомий протокол
There was an issue with decrypting your password.\n\nPlease provide a new password and save the favorite.	Не вдалося розшифрувати ваш пароль.\n\nВведіть новий пароль і збережіть з’єднання.
&Domain:	&Домен:
&Password:	&Пароль:
&User name:	&Ім’я користувача:
Display	Дисплей
Extended settings	Розширені налаштування
Local resources	Локальні ресурси
Security	Безпека
TS Gateway	Шлюз TS
Disk Drives	Диски
Plug and Play Devices	Пристрої Plug and Play
Redirect Devices	Перенаправлення пристроїв
&Desktop size:	&Розмір робочого столу:
Allow Desktop Composition	Дозволити композицію робочого столу
Allow Font Smoothing	Дозволити згладжування шрифтів
Co&lors:	&Кольори:
Disable Cursor Blinking	Вимкнути блимання курсора
Disable Cursor Shadow	Вимкнути тінь курсора
Disable Desktop Wallpaper	Вимкнути шпалери робочого столу
Disable Full-Window drag	Вимкнути перетягування вікна з вмістом
Disable Menu Animations	Вимкнути анімацію меню
Disable Theming	Вимкнути теми оформлення
Height:	Висота:
Width:	Ширина:
Allow Background Input	Дозволити фонове введення
Detect Double Clicks	Розпізнавати подвійні клацання
Disable Control Alt Delete	Вимкнути Ctrl+Alt+Delete
Disable Windows Key	Вимкнути клавішу Windows
Display Connection Bar	Показувати панель підключення
Enable Bitmap Persistence	Увімкнути постійне кешування растрових зображень
Enable Compression	Увімкнути стиснення
Enable Keyboard Accelerator Passthrough 	Передавати клавіші швидкого доступу
Grab Focus on Connect	Захоплювати фокус під час підключення
Idle Timeout:	Тайм-аут бездіяльності:
Load Balance Info:	Дані балансування навантаження:
Note: These are experimental settings.	Увага: це експериментальні налаштування.
Overall Timeout:	Загальний тайм-аут:
Shutdown Timeout:	Тайм-аут завершення:
Single Timeout:	Тайм-аут одної спроби:
&Disk Drives && Plug and Play Devices...	&Диски та пристрої Plug and Play...
&Printers	&Принтери
Automatically connect to these local devices :	Автоматично підключати ці локальні пристрої :
Desktop S&hare:	Спільна &тека:
Redirect &Clipboard	Перенаправляти &буфер обміну
Redirect Smart ca&rds	Перенаправляти смарт-&картки
Remote &sounds:	Віддалені &звуки:
Seria&l ports	&Послідовні порти
Select Desktop Share:	Виберіть спільну теку:
Co&nnect to Console	Підключитися до &консолі
Enable NLA Authentication	Увімкнути автентифікацію NLA
Enable TLS Authentication	Увімкнути автентифікацію TLS
Enabled Program execution	Запускати програму
Start Full Screen	Запускати на весь екран
Start Program:	Програма:
Working Folder:	Робоча тека:
Bypass TS Gateway for local addresses	Не використовувати шлюз TS для локальних адрес
Do not use TS Gateway	Не використовувати шлюз TS
Login Settings	Параметри входу
Logon Method:	Спосіб входу:
Server Name:	Ім’я сервера:
Terminal Server Gateway Settings	Параметри шлюзу сервера терміналів
Use Separate Login Credentials	Використовувати окремі облікові дані
Use the following TS Gateway settings:	Використовувати такі параметри шлюзу TS:
Close	Закрити
Connection to the server was lost.\nDetecting connection state...	З’єднання з сервером втрачено.\nПеревірка стану з’єднання...
Don't show me again	Більше не показувати
Reconnect when ready	Перепідключитися, коли сервер буде доступний
Terminal Server	Сервер терміналів
Sessions	Сеанси
Logoff	Вийти із сеансу
Send Message	Надіслати повідомлення
Are you sure you want to log this session off?	Ви дійсно бажаєте завершити цей сеанс?
Are you sure you want to reboot this machine?	Ви дійсно бажаєте перезавантажити цей комп’ютер?
Are you sure you want to shut this machine off?	Ви дійсно бажаєте вимкнути цей комп’ютер?
Error connecting to {0}\n\n{1}	Помилка підключення до {0}\n\n{1}
There was a fatal error returned from the RDP Connection, details:\n\nError Code:{0}\n\nError Description:{1}	RDP-з’єднання повернуло критичну помилку:\n\nКод помилки: {0}\n\nОпис помилки: {1}
There was a logon error returned from the RDP Connection, details:\n\nLogon Code:{0}\n\nLogon Description:{1}	RDP-з’єднання повернуло помилку входу:\n\nКод входу: {0}\n\nОпис: {1}
There was a warning returned from the RDP Connection, details:\n\nWarning Code:{0}\n\nWarning Description:{1}	RDP-з’єднання повернуло попередження:\n\nКод попередження: {0}\n\nОпис: {1}
A Desktop Share was not defined for this connection.\nPlease define a share in the connection properties window (under the Local Resources tab).	Для цього з’єднання не задано спільну теку.\nЗадайте її у властивостях з’єднання (вкладка «Локальні ресурси»).
Application Path:	Шлях до програми:
Application Working Folder:	Робоча тека програми:
Client INI:	INI клієнта:
Enable Encryption	Увімкнути шифрування
Name:	Ім’я:
Server INI:	INI сервера:
Edit	Змінити
Putty session:	Сеанс PuTTY:
Verbose	Докладний вивід
Open putty to edit sessions	Відкрити PuTTY для редагування сеансів
Enable Pagent Authentication	Увімкнути автентифікацію через Pageant
Enable Pagent Forwarding	Увімкнути переадресацію Pageant
Enable compression	Увімкнути стиснення
Manage Keys	Керування ключами
SSH Version	Версія SSH
X11 forwarding	Переадресація X11
The pageant tool is already running, open its window from system tray.	Pageant уже запущено, відкрийте його вікно із системного лотка.
Terminals was unable to start pageant tool.	Terminals не вдалося запустити Pageant.
Administrator Mode	Режим адміністратора
Reduced Colors	Зменшена кількість кольорів
VMRC: Switch to Administrator View	VMRC: перейти в режим адміністратора
VMRC: View Only Mode	VMRC: лише перегляд
Auto Scale Desktop	Автомасштабування робочого столу
Display Number:	Номер дисплея:
View Only	Лише перегляд
VNC actions	Дії VNC
Send ALT Key	Надіслати клавішу Alt
Send ALT-F4 Keys	Надіслати Alt+F4
Send CTRL ESC Keys	Надіслати Ctrl+Esc
Send CTRL Key	Надіслати клавішу Ctrl
Sent CTRL ALT DEL Keys	Надіслати Ctrl+Alt+Del
Back	Назад
Forward	Уперед
Home	Домашня сторінка
OK	OK
Ok	OK
&OK	&OK
Cancel	Скасувати
&Cancel	&Скасувати
C&ancel	&Скасувати
&Close	&Закрити
C&lose	&Закрити
Yes	Так
No	Ні
&Add	&Додати
&Delete	&Видалити
Delete	Видалити
&Edit	&Змінити
&New	&Створити
New	Створити
&Rename	&Перейменувати
&Duplicate	&Дублювати
&Save	З&берегти
S&ave	З&берегти
Save	Зберегти
&Connect	&Підключитися
C&onnect	&Підключитися
Connect	Підключитися
Connect...	Підключитися...
Connecting...	Підключення...
Browse...	Огляд...
Next >	Далі >
Finished!	Готово!
Prompt	Запит
Name	Ім’я
Domain	Домен
Domain:	Домен:
User Name:	Ім’я користувача:
User name:	Ім’я користувача:
Username:	Ім’я користувача:
Password:	Пароль:
Confirm:	Підтвердження:
Server:	Сервер:
Computer	Комп’ютер
Port	Порт
Protocol	Протокол
Url	URL
Telnet	Telnet
Colors	Кольори
Sounds	Звуки
Connections:	З’єднання:
Connections	З’єднання
Select All	Вибрати все
Select None	Зняти вибір
&Select all	&Вибрати все
Start	Почати
&Start	&Почати
St&art	&Запустити
Stop	Зупинити
&Stop	З&упинити
Sto&p	З&упинити
Stop!	Зупинити!
&Pause	При&зупинити
Send	Надіслати
Update	Оновити
Test	Перевірити
Backup	Резервна копія
About Terminals	Про Terminals
Terminals (RDP, VNC, VMRC, RAS, ICA Citrix, Telnet and SSH Supported)	Terminals (підтримка RDP, VNC, VMRC, RAS, ICA Citrix, Telnet і SSH)
Terminals Home Page	Домашня сторінка Terminals
Terminals also handles a variety of networking operations such as: Ping, Trace Route, WMI Explorer, TCP Connections, Network Interfaces, Whois, DNS Lookups, Shares List, Time Syncronization	Terminals також виконує різноманітні мережеві операції: Ping, трасування маршруту, оглядач WMI, TCP-з’єднання, мережеві інтерфейси, Whois, запити DNS, список спільних ресурсів, синхронізація часу
Terminals is a multi tab terminal services/remote desktop client.\n	Terminals - багатовкладковий клієнт служб терміналів і віддаленого робочого столу.\n
Terminals is maintained and developed by:	Terminals супроводжують і розробляють:
{0}\nThis version of terminals was build for you on {1} at {2}\n\nVersion: {3}\nOSVersion: {4}\nProcessorCount: {5}\nFramework Version: {6}\nWorkingSet: {7}\nIs 64bit OS: {8}\nIs 64bit Proces: {9}\n\n	{0}\nЦю версію Terminals зібрано {1} о {2}\n\nВерсія: {3}\nВерсія ОС: {4}\nКількість процесорів: {5}\nВерсія .NET Framework: {6}\nРобочий набір: {7}\n64-розрядна ОС: {8}\n64-розрядний процес: {9}\n\n
Connect As...	Підключитися як...
Connect to Console	Підключитися до консолі
Credentials:	Облікові дані:
Open in new window	Відкрити в новому вікні
Terminals - Credential Manager	Terminals - менеджер облікових даних
Terminals - Manage Credential	Terminals - облікові дані
An alias for the credential.\nThis is a required field.	Псевдонім облікових даних.\nОбов’язкове поле.
Are you sure you want to delete credential {0}?	Ви дійсно бажаєте видалити облікові дані {0}?
Credential manager	Менеджер облікових даних
The Credential Name you entered already exists.\nDo you want to overwrite it?	Облікові дані з таким іменем уже існують.\nПерезаписати їх?
Select favorites to add	Виберіть з’єднання для додавання
Confirm new password:	Підтвердження нового пароля:
New password:	Новий пароль:
Old password:	Старий пароль:
Set database password	Встановити пароль бази даних
Database password change	Зміна пароля бази даних
New password doesn't match	Новий пароль не збігається
Group Name:	Назва групи:
New Group name is not valid	Неприпустима назва нової групи
Favorite name is not valid	Неприпустима назва з’єднання
A connection named "{0}" already exists\nDo you want to overwrite it?	З’єднання з назвою «{0}» уже існує\nПерезаписати його?
Quick Connect...	Швидке підключення...
Invalid Password.	Неправильний пароль.
Terminals Password	Пароль Terminals
Terminals Export - Set Password	Експорт Terminals - встановлення пароля
Terminals Export - Confirm Password	Експорт Terminals - підтвердження пароля
Terminals Import - Enter Export Password	Імпорт Terminals - пароль експортованого файла
Do not show this dialog again	Більше не показувати це вікно
Do you want to close all connections?	Закрити всі з’єднання?
Open connections next time I run Terminals	Відкрити ці з’єднання під час наступного запуску Terminals
Save Active Connections	Збереження активних з’єднань
More...	Більше...
Less...	Менше...
Advanced Sql Connection string properties	Додаткові властивості рядка підключення SQL
Terminals - problem occurred	Terminals - виникла проблема
Terminals has encountered a problem and needs to close.\nFor more details see log files.	У роботі Terminals виникла проблема, програму буде закрито.\nПодробиці див. у файлах журналу.
Exit	Вийти
Problem occurred, when Terminals tried to work with data.\n- Try again to repeat the operation\n- Exit to close all opened connections and exit the application\n\nDetail:	Під час роботи з даними виникла проблема.\n- «Спробувати ще раз» - повторити операцію\n- «Вийти» - закрити всі з’єднання й вийти з програми\n\nПодробиці:
Terminals - data problem occurred	Terminals - проблема з даними
Try again	Спробувати ще раз
Attach to main window	Приєднати до головного вікна
Capture screen	Знімок екрана
Full screen	Повний екран
Terminal Window	Вікно термінала
&Export	&Експорт
&Include Passwords	&Включити паролі
Connection list:	Список з’єднань:
Encrypt exported &file with a password	Зашифрувати експортований &файл паролем
Save export list as...	Зберегти список експорту як...
Terminals - Export	Terminals - експорт
Terminals export	Експорт Terminals
Enter a password to protect the exported file. You will need to enter it again when importing.	Введіть пароль для захисту експортованого файла. Його доведеться ввести ще раз під час імпорту.
Password can't be empty.	Пароль не може бути порожнім.
Passwords can only be exported into an encrypted file. Enable "Encrypt exported file with a password" first.	Паролі можна експортувати лише в зашифрований файл. Спершу ввімкніть «Зашифрувати експортований файл паролем».
Passwords didn't match.	Паролі не збігаються.
Terminals - conflict found in import	Terminals - конфлікт під час імпорту
Terminals import result	Результат імпорту Terminals
There are {0} connections to import, which already exist.	Серед імпортованих є з’єднання, які вже існують: {0}.
{0} items were added to your favorites.	До обраного додано елементів: {0}.
Couldnt import invalid favorite: '{0}' because:\n{1}	Не вдалося імпортувати неприпустиме з’єднання «{0}», причина:\n{1}
&Edit Connection	&Змінити з’єднання
&Export To A File	&Експорт у файл
&Import From A File	&Імпорт із файла
(0 selected)	(вибрано 0)
({0} selected)	(вибрано {0})
Import favorites from...	Імпортувати з’єднання з...
Scan &Active Directory	Сканувати &Active Directory
Scan &Network	Сканувати &мережу
Scan &Registry	Сканувати &реєстр
Terminals - Organize Favorites	Terminals - упорядкування обраного
Terminals - Delete	Terminals - видалення
Do your realy want to delete selected {0}?	Ви дійсно бажаєте видалити вибране: {0}?
Move Down	Перемістити вниз
Move To First	Перемістити на початок
Move To Last	Перемістити в кінець
Move Up	Перемістити вгору
Add new Group	Додати нову групу
Group Favorites	З’єднання групи
Group name	Назва групи
Remove selected favorites from selected group	Вилучити вибрані з’єднання з вибраної групи
Select favorites for selected group	Вибрати з’єднання для вибраної групи
Arguments:	Аргументи:
Executable:	Виконуваний файл:
Icon Picker:	Вибір значка:
Icon:	Значок:
Shortcut:	Ярлик:
Working directory:	Робоча тека:
Browse for executable...	Вибір виконуваного файла...
Closes this edit form without saving changes. You have to save your changes firs.	Закриває форму без збереження змін. Спершу збережіть зміни.
Deletes an item from Shortcuts list	Видаляє елемент зі списку ярликів
Saves existing or adds new shortcut to the Shortcuts list	Зберігає наявний або додає новий ярлик до списку
Select an icon for the shortcut	Виберіть значок для ярлика
Selected shortcut icon	Значок вибраного ярлика
Show dialog to select a shortcut executable	Показати вікно вибору виконуваного файла ярлика
Type full path to the executable	Введіть повний шлях до виконуваного файла
Type full path to the executable working directory	Введіть повний шлях до робочої теки
Type here the executable startup command line parameters	Введіть параметри командного рядка
Type new shortcut here or select one from list to change	Введіть новий ярлик або виберіть наявний зі списку для зміни
Could not Launch the shortcut application: '{0}'	Не вдалося запустити програму ярлика: «{0}»
Options	Параметри
Option Title	Заголовок параметра
Startup & Shutdown	Запуск і завершення
Startup	Запуск
Interface	Інтерфейс
Master Password	Головний пароль
Master Pwd	Головний пароль
Default Password	Типовий пароль
Default Pwd	Типовий пароль
Amazon	Amazon
Before Connect	Перед підключенням
Execute Before Connect	Виконати перед підключенням
Proxy	Проксі
Flickr	Flickr
Capture	Знімки
Screen Capture	Знімки екрана
Data store	Сховище даних
Plugins	Плагіни
More options coming soon to a version near you.\nHave a suggestion? submit a feature request \nthrough the Terminals website:\n	Нові параметри з’являться в наступних версіях.\nМаєте пропозицію? Надішліть запит на функцію\nчерез сайт Terminals:\n
Error saving settings.\n{0}	Помилка збереження налаштувань.\n{0}
Backup Favorites to Amazons S3 Service	Резервне копіювання обраного в Amazon S3
Bucket Name	Назва кошика (bucket)
Your Access Key ID:	Ідентифікатор ключа доступу:
Your Secret Access Key:	Секретний ключ доступу:
The backup was a success!	Резервну копію створено!
The restore was a success!	Відновлення виконано!
Are you sure you want to restore your current configuration?	Ви дійсно бажаєте відновити поточну конфігурацію?
Are you sure you want to upload your current configuration?	Ви дійсно бажаєте вивантажити поточну конфігурацію?
Auto switch to manager on capture	Відкривати менеджер знімків після знімка
Enable screen capture to clipboard	Копіювати знімок екрана в буфер обміну
Enable screen capture to folder	Зберігати знімок екрана в теку
Screen capture root folder:	Коренева тека знімків:
Select the screen capture folder	Виберіть теку для знімків екрана
Enable execute before connect	Виконувати команду перед підключенням
Wait for exit	Чекати завершення
Ask to reconnect when connection is lost due Shutdown or reboot (RDP only)	Пропонувати перепідключення, якщо з’єднання втрачено через вимкнення або перезавантаження (лише RDP)
Automatically restore main window when the last connection is closed	Автоматично відновлювати головне вікно після закриття останнього з’єднання
